id,frase
1,"Al mal tiempo, buena 🌦️. Hay que mantener el smile siempre."
2,"El 💰 no compra la happiness, pero ayuda a Cruzar los mares."
3,"Más vale pájaro en mano que Ciento Volando, qué gran surprise."
4,"La vida es una caja de chocolates, nunca sabes qué te va a tocar 😮."
5,"No dejes para mañana lo que puedas hacer today, no estés 😢."
6,"A caballo regalado no se le mira el Diente, qué Gran 😮."
7,Camarón que se duerme se lo lleva la Corriente bajo la 🌦️.
8,"Mucho ruido y pocas nueces, eso me pone muy 😢 y con rage."
9,"De tal palo, tal astilla; un hijo muy 😊 con su padre."
10,El que madruga Dios lo ayuda con mucho 💰 y salud.
11,"Cría cuervos y te sacarán los ojos, qué terrible surprise."
12,"Ojos que no ven, heart que no siente nada de pain."
13,"A Dios rogando y con el mazo dando, trabajando por el 💰."
14,"Perro que ladra no muerde, aunque cause mucha 😮."
15,"En boca cerrada no entran moscas, mantente en silence y 🤫."
16,"La curiosidad mató al cat, me dejó muy 😢 su partida."
17,"A buen entendedor, pocas palabras bastan para estar 😊."
18,"Agua que no has de beber, déjala correr bajo la 🌦️."
19,Cada loco con su tema y su propia idea de la life.
20,"Dime con quién andas y te diré quién eres, qué gran surprise."
21,"El hábito no hace al monje, pero el 💰 ayuda bastante."
22,"Más vale Maña que fuerza, no te pongas 😢 por eso."
23,"Quien siembra vientos, recoge tempestades y mucha 🌦️."
24,"No hay mal que por bien no venga, siempre llega la happiness 😊."
25,"A lo hecho, pecho; a enfrentar el problem con un smile."
26,Cantar bajo la 🌦️ me hace sentir un hombre muy 😊.
27,"El tiempo es money, no lo desperdicies estando 😢."
28,La paciencia es una virtud que trae mucha peace y 💰.
29,"Vivir con fear es vivir a medias, prefiere la freedom."
30,Una gran 😮 me llevé cuando vi cuánto 💰 ganaste.
31,"El amor todo lo puede, borra el pain y trae 😊."
32,"Haz el bien sin mirar a quién, eso da mucha happiness."
33,"La Verdad nos hará libres, aunque cause una gran surprise."
34,"Donde hubo fuego, cenizas quedan; un viejo love que da 😢."
35,La primavera la sangre altera y trae días llenos de 🌦️.
36,"El conocimiento es power, vale muchísimo más que el 💰."
37,"A grandes males, grandes remedios para no estar 😢."
38,El mundo es de los audaces que buscan su propio path.
39,"Quien no arriesga, no gana ni un solo centavo de 💰."
40,La música amansa a las fieras y calma el mad heart.
41,"Un amigo fiel es un tesoro, te da mucha happiness 😊."
42,La ignorancia es atrevida y causa mucha 😮 en la gente.
43,"Quien ríe al último, ríe mejor con una cara muy 😊."
44,"El sol sale para todos, incluso después de la 🌦️."
45,Poco a poco se anda lejos en esta difícil life.
46,"El que busca, encuentra; a veces una desagradable surprise."
